2016,"Alcohol, abstainers lifetime (%)",,,abstainers 12 month,,,"Alcohol, consumers past 12 months (%)",,,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI",,
Country, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female
Thailand,34.5,20.8,47.6,59.1,45.4,72.3,40.9,54.6,27.7,16.8 [15.3-18.4],28.4 [26-30.7],5.6 [4.8-6.4]
Timor-Leste,58,43.7,72.6,78.4,69.4,87.6,21.6,30.6,12.4,6.5 [5.8-7.2],11.3 [10.2-12.6],1.4 [1.2-1.7]
Togo,69.9,59.7,79.7,74.3,63.5,84.8,25.7,36.5,15.2,8.8 [7.9-9.8],15.7 [14.2-17.3],2.2 [1.9-2.6]
Tonga,66.4,53,79.4,85.8,79.1,92.3,14.2,20.9,7.7,8.5 [7.9-9.1],14.4 [13.6-15.2],2.7 [2.3-3]
Trinidad and Tobago,20.5,10.8,29.7,41.3,27.5,54.4,58.7,72.5,45.6,31 [28.3-33.6],47.8 [44.4-51],14.5 [12.5-16.6]
Tunisia,91.3,85.5,96.8,94.8,91.1,98.4,5.2,8.9,1.6,1.1 [0.9-1.5],2.2 [1.7-2.8],0.1 [0.1-0.1]
Türkiye,89.1,82.7,95.1,93.1,89,97,6.9,11,3,1.5 [1.2-1.9],2.9 [2.2-3.6],0.2 [0.2-0.3]
Turkmenistan,41.6,26.8,55.6,69.6,57.5,81,30.4,42.5,19,13.3 [12.2-14.5],23 [21.3-24.8],4.1 [3.6-4.7]
Tuvalu,66.4,53,79.5,85.6,78.9,92.2,14.4,21.1,7.8,8.4 [7.8-8.9],14.2 [13.4-15],2.6 [2.3-3]
Uganda,47.4,32.5,62,63.7,50.9,76.2,36.3,49.1,23.8,19.4 [18.1-20.7],31.9 [30-33.6],7.2 [6.4-8.1]
Ukraine,12.7,9.8,15,38.2,31.3,43.9,61.8,68.7,56.1,20.2 [16.8-24],31.6 [26.7-36.6],9.5 [7.4-12.1]
United Arab Emirates,70.6,65.4,87.3,81.5,78.3,92.1,18.5,21.7,7.9,6.4 [5.2-7.8],8.2 [6.6-9.8],0.9 [0.7-1.3]
United Kingdom of Great Britain and Northern Ireland,11,5.3,16.4,26.6,15.7,37,73.4,84.3,63,33.7 [31.2-36.2],50.9 [47.7-53.9],16.7 [14.9-18.7]
United Republic of Tanzania,47.1,32.2,61.6,63.6,50.7,76,36.4,49.3,24,19.4 [18.1-20.7],31.9 [30.1-33.7],7.2 [6.4-8.1]
United States of America,9.2,4.4,13.8,28.3,17,39.3,71.7,83,60.7,29 [26.4-31.7],44.7 [41.2-48.2],13.1 [11.4-15]
Uruguay,6,2.7,9,31.1,18.7,42.4,68.9,81.3,57.6,24.9 [20.7-29.3],39.7 [33.7-45.7],10.5 [8.1-13.5]
Uzbekistan,53.9,38.5,68.3,79.2,69.9,88,20.8,30.1,12,7.9 [7.1-8.7],14 [12.7-15.3],2 [1.7-2.3]
Vanuatu,67.6,54.6,80.4,86.4,80.1,92.6,13.6,19.9,7.4,7.9 [7.3-8.4],13.4 [12.5-14.2],2.4 [2.1-2.7]
Venezuela (Bolivarian Republic of),27.2,15.5,38.6,62,48.8,74.8,38,51.2,25.2,14.9 [13.1-16.8],25.4 [22.5-28.2],4.7 [3.8-5.6]
Viet Nam,38.6,24.1,52.4,63.4,50,76.1,99.4,50,23.9,14.4 [13.1-15.8],24.6 [22.5-26.7],4.4 [3.8-5.1]
Yemen,99,98.5,99.5,99.3,98.9,99.7,0.7,1.1,0.3,0 [0-0],0 [0-0],0 [0-0]
Zambia,58.7,44.2,73,72.7,61.7,83.5,27.3,38.3,16.5,12.6 [11.6-13.6],21.6 [20-23],3.8 [3.3-4.3]
Zimbabwe,71,58.4,82.8,82.4,74.3,90,17.6,25.7,10,8.3 [7.5-9.2],14.6 [13.2-16],2.3 [2-2.8]
