id	Country	total	beer	wine	sprites
762	Tajikistan	3.109999895095830	0.36	0.01	0.54
764	Thailand	8.359999656677250	2.16	0.19	4.59
768	Togo	2.369999885559080	0.7	0.08	0.24
780	Trinidad and Tobago	6.880000114440920	2.83	0.31	2.71
784	United Arab Emirates	3.7899999618530300	0.23	0.15	1.73
788	Tunisia	1.9900000095367400	1.05	0.3	0.13
792	Turkey	2.119999885559080	0.74	0.13	0.44
795	Turkmenistan	5.300000190734860	0.68	1.39	1.29
800	Uganda	15.140000343322800	0.86	0.01	0.61
804	Ukraine	10.15999984741210	2.51	0.32	3.15
807	North Macedonia	5.929999828338620	1.67	1.04	0.83
818	Egypt	0.4000000059604650	0.11	0.01	0.06
826	United Kingdom	11.210000038147000	3.41	3.39	2.08
834	Tanzania	11.050000190734900	0.72	0.09	0.46
840	United States	9.819999694824220	4.13	1.59	3.07
854	Burkina Faso	11.829999923706100	0.88	0.04	0.24
858	Uruguay	6.989999771118160	1.97	3.07	0.96
860	Uzbekistan	2.5899999141693100	0.26	0.09	2.24
862	Venezuela	6.820000171661380	4.88	0.01	1.25
887	Yemen	0.054999999701976800	0.03	0	0
894	Zambia	6.889999866485600	1.08	0.05	0.21
