id	country	total	beer	wine	sprites
788	Tunisia	1.399999976158140	0.87	0.26	0.11
792	Turkey	2.319999933242800	0.79	0.13	0.51
795	Turkmenistan	4.820000171661380	0.25	1.33	1.31
800	Uganda	13.5	0.9	0.01	0.58
804	Ukraine	13.569999694824200	3.39	0.46	3.87
807	North Macedonia	5.929999828338620	1.59	1.06	0.86
818	Egypt	0.36000001430511500	0.11	0.02	0.07
826	United Kingdom	12.0600004196167	3.69	3.23	2.2
834	Tanzania	9.739999771118160	0.6	0.07	0.38
840	United States	9.359999656677250	4.3	1.45	2.81
854	Burkina Faso	8.579999923706060	0.46	0.06	0.12
858	Uruguay	7.099999904632570	1.79	3.62	0.58
860	Uzbekistan	3.009999990463260	0.19	0.09	1.46
862	Venezuela	8.670000076293950	5.58	0.1	1.66
887	Yemen	0.18000000715255700	0.06	0	0
894	Zambia	5.429999828338620	0.61	0.01	0.15
