country,COVID cases/100k,deaths_per_100k,capital city latitude,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m
Bahrain,40914.917,90.269,26.23333333,3.8,3.6,NaN,1.4,32.5,1.73,77,0.852,21700,6.227300167,42,84.4,79.6,93.4,91.2,88.5,96.2,8.8,3.026315789,11.5,3.8,2.3,3.4,0.3,1.9,2.8,0.7,1,1.1,1.5,0.3,20.8,23,8.1,0.632,0.066,0.5125,0.99,0.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bangladesh,1236.622,17.872,23.71666667,7.4,4.4,32.1,5.6,27.1,2.15,74.2,0.625,1500,4.832799911,26,92.5,88.9,96.1,97.8,96.5,99,2.2,3.5,3.5,1,0.8,1.4,0.1,0.9,0.9,0.8,1,0,0,0,0.9,1,0.4,0.7165,0.546,0.4225,0.937,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Barbados,36334.406,197.303,13.1,-0.2,10.1,NaN,4.4,38.9,1.68,76.5,0.81,16800,NaN,NaN,25.1,13.6,35.3,49.5,34.8,62.6,50.5,1.743315508,65.2,37.4,26.4,42.4,11.5,3.6,6.4,0.9,2,9.7,16,4.1,18.2,24.5,8.6,0.767,0.272,0.8345,0.992,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belarus,10519.666,75.328,53.9,2.4,0.8,26.5,6,40.3,1.49,74,0.823,6140,5.539899826,47,7.5,5.9,8.8,26.4,21,30.8,73.6,1.141618497,79,69.2,28.2,42.3,15,24,23.8,24.2,5,11.5,18.7,5.4,15.7,23.9,8.2,0.754,0.216,0.829,0.9945,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belgium,40236.825,286.892,50.83333333,1.7,7.1,25.9,2.2,41.5,1.78,81.4,0.93,42400,6.863500118,76,9.4,4.5,14.2,23.5,13.4,33.2,76.5,1.296407186,86.6,66.8,36.6,54.1,19,5.4,8,2.8,3,11.1,17.2,5.3,15.4,21.7,7.6,0.791,0.48,0.716,1,0.968,427.21596,237.32297,144.17238,677.39722,648.45746,316.70667,365.17313,9.0342674,8.4929714,199.2325,273.70407
Belize,17364.974,173.026,17.25,0.8,9,NaN,1.1,23.7,2.8,74.4,0.714,4710,NaN,NaN,34.4,21,47.4,58.5,45.1,71.6,41.5,1.933098592,54.9,28.4,18.7,31.1,6.6,6.5,9.6,1.9,4,6.2,9.9,2.6,15.4,19.8,7.3,0.697,0.075,0.738,0.994,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Benin,230.797,1.345,6.483333333,5.6,1,36.5,0.1,18.4,4.67,64,0.541,1160,5.21600008,41,69.5,59.3,79.5,73.9,63,84.6,26.1,2.402597403,37,15.4,9.1,16.1,2.3,2.6,4,1.1,4,2.8,4.5,1.1,11.1,13.7,5.1,0.6325,0.0915,0.705,0.7615,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,8100.357,2.722,27.46666667,7.4,3.2,38.8,5.8,28.1,1.87,73,0.649,3100,NaN,NaN,64.8,52.5,79.6,70.4,60.2,82.7,29.6,2.300578035,39.8,17.3,10.8,17.5,2.6,2.4,3.6,1.1,2,0.4,0.7,0.2,1.8,2.2,0.8,0.638,0.0875,0.5465,0.9545,0.9625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia (Plurinational State of),9516.62,190.585,16.5,4.2,4,47,2.8,24.6,2.58,71.8,0.714,3290,5.747499943,31,12,5.9,17.9,54.6,40.9,68.1,45.4,1.852664577,59.1,31.9,20.9,34.2,7.7,6.1,9.2,2.3,4,4.4,6.8,2.1,10.1,13,4.8,0.728,0.352,0.6185,0.9805,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bosnia and Herzegovina,12208.156,493.841,43.86666667,3,20.5,33.8,1.2,42.5,1.31,76.9,0.777,5380,5.674099922,35,27.4,15.5,39.2,52.1,37.9,66,47.9,1.826470588,62.1,34,22.7,36.4,8.6,4.6,7.7,1.5,3,7.2,11.8,2.7,12.5,16.4,5.7,0.7115,0.302,0.5985,0.9705,0.9745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
