Name,continent,Cases - cumulative total,Deaths - cumulative total,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Life expectancy at birth,life_exp,gdp,happiness_score,health,freedom,government_trust,alcohol death both,consumption drinkers Both sexes
Cuba,North America,1111384,8530,"$12,300",-1.2,2.6,unknown,10.6,8.9,-4.5,36,78.9,78.3,8040,,,,,4.2,14.6 [15.7-]
Cura?ao,,45986,295,,,,,,,,,,,,,,,,,
Cyprus,Asia,614237,1226,"$37,200",13.4,11.1,34.8,11.2,6.8,8.3,6,79,80.8,32000,6.15899992,1.026124597,0.459385872,0.051207144,3.6,14.5 [15.5-]
Czechia,Europe,4558202,41882,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,79.3,19700,,,,,6.2,18.2 [19.2-]
Democratic People's Republic of Korea,,0,0,"$1,700",1,25.6,unknown,14.6,9.3,0,89,71,,,,,,,3.4,8.3 [8.8-]
Democratic Republic of the Congo,Africa,94203,1455,$800,1.6,unknown,42.1,32.8,9.4,-0.1,473,58.1,64.7,507,,,,,4,6.7 [7.5-]
Denmark,Europe,3352606,7528,"$50,100",2.5,5.7,29,10.9,9.3,4.3,4,81,81.1,56600,7.645599842,0.979332566,0.665039897,0.495260328,5.6,13.2 [14-]
Djibouti,Africa,15690,189,"$3,600",2.7,40,40.9,23.3,7.5,5.5,248,64,66.7,3090,,,,,1.7,2.6 [2.9-]
Dominica,,15760,74,"$11,000",-13,23,unknown,15,7.9,-5.4,unknown,77.4,,,,,,,No data,17.2 [18.6-]
Dominican Republic,North America,648456,4384,"$17,000",3.1,5.1,47.1,18.9,6.4,-2.6,95,71.3,72.9,8000,5.689199924,0.741901696,0.5628739,0.115945682,6.6,14.9 [16-]
Ecuador,South America,1011132,35940,"$11,500",-0.6,4.6,45.9,17.6,5.1,0,59,77.1,76.2,5950,5.925199986,0.838837743,0.555234551,0.086753383,5.7,9.3 [10-]
Egypt,Africa,515453,24798,"$12,700",3.5,12.2,31.8,28.8,4.5,-0.4,37,73.2,70.7,3830,4.151400089,0.596911311,0.373684734,0.095461793,1.8,12.8 [14.7-]
El Salvador,North America,201785,4230,"$8,000",3.6,7,36,16.1,5.8,-7.8,46,75.1,75.6,3920,6.34829998,0.752730012,0.524043918,0.117030352,7.2,12.2 [13.3-]
Equatorial Guinea,Africa,17086,183,"$37,400",-6.9,8.6,unknown,31.7,7.6,0,301,65,65.8,8120,,,,,9.4,15.8 [16.7-]
Eritrea,,10189,103,"$1,600",5.4,5.8,unknown,29.1,7.1,-13.1,480,65.6,,,,,,,2.2,5.9 [6.7-]
Estonia,Europe,609297,2790,"$31,700",9.5,5.8,34.8,9.9,12.7,-3.1,9,77,77.9,19700,6.021800041,0.842615008,0.576664805,0.201766819,20.2,20.9 [22.4-]
Eswatini,Africa,73770,1422,,,,,,,,,,57.8,3780,,,,,5,32.7 [35.5-]
Ethiopia,Africa,494520,7572,"$2,200",10.5,17.5,33,36,7.5,-0.2,401,63,68.4,757,4.186200142,0.483846247,0.41256687,0.117437035,3.4,12 [13.5-]
Falkland Islands (Malvinas),,1923,0,,,,,,,,,,,,,,,,,
Faroe Islands,,34658,28,,,,,,,,,,,,,,,,,
Fiji,Oceania,68375,878,"$9,800",2.8,4.5,unknown,18.2,6.2,-6.4,34,73.2,68.3,5940,,,,,1.7,15.2 [16.8-]
Finland,Europe,1394254,7265,"$44,500",6.2,8.5,27.2,10.7,10.1,2.8,3,81.1,81.8,45600,7.808700085,0.961271405,0.66231674,0.477857262,5.8,14 [14.9-]
France,Europe,36701755,155241,"$44,100",2,9.4,29.3,12.1,9.4,1.1,8,82,82.9,38300,6.663799763,1.029714227,0.514050901,0.227303237,5.8,15.9 [16.9-]
French Guiana,,95451,411,,,,,,,,,,,,,,,,,
French Polynesia,,76985,649,,,,,,,,,,,,,,,,,
Gabon,Africa,48973,306,"$18,100",1.8,28,42.2,26.5,6.2,7,252,68,67.5,7020,4.829299927,0.522574842,0.369459897,0.055804539,11.4,17.2 [18.4-]
Gambia,Africa,12586,372,"$2,600",-0.8,unknown,50.2,28.6,6.9,-1.8,597,65.4,66.4,693,,,,,3.3,13.6 [14.7-]
Georgia,Asia,1805698,16881,"$10,700",6.7,11.8,40.1,12.1,10.9,-1.1,25,76.6,73.3,4540,4.672599792,0.694657624,0.485494107,0.174088076,8.1,27.3 [29.4-]
Germany,Europe,36463485,157791,"$50,800",3.3,3.8,27,8.6,11.8,1.5,7,80.9,81.2,43000,7.075799942,0.972114801,0.564274132,0.309362292,5.2,16.3 [17.2-]
Ghana,Africa,171009,1461,"$4,700",16.7,11.9,unknown,30.2,6.8,-1.7,308,67.4,65.8,1890,5.147999763,0.432162255,0.477290064,0.056570381,3.4,10 [11.2-]
Gibraltar,,20184,110,,,,,,,,,,,,,,,,,
Greece,Europe,5404690,34309,"$27,800",3.5,21.5,36.7,8.3,11.4,2.3,3,80.8,81,18600,5.514999866,0.979431748,0.173516348,0.048844352,4,14.8 [16.4-]
Greenland,,11971,21,"$41,800",unknown,9.1,33.9,14.3,8.8,-6,unknown,72.9,,,,,,,,
Grenada,,19631,237,"$15,100",10,24,unknown,15.2,8.2,-2.8,25,74.8,,,,,,,4.6,17.6 [18.8-]
Guadeloupe,,197918,995,,,,,,,,,,,,,,,,,
Guam,,49363,407,,,,,,,,,,,,,,,,,
Guatemala,North America,1154211,19949,"$8,200",1.8,2.3,53,24.6,5,-2.4,95,71.8,72.4,4160,6.398900032,0.705952585,0.613146722,0.0983603,5.5,8.5 [9.4-]
Guernsey,,32900,65,,,,,,,,,,,,,,,,,
Guinea,Africa,38153,464,"$2,200",11,2.7,39.4,36.4,8.9,0,576,62.1,60.6,921,4.949299812,0.333655238,0.371878058,0.112204559,1.6,5.4 [6.3-]
Guinea-Bissau,Africa,8848,176,"$1,900",2.5,unknown,unknown,37.3,8.5,-4,667,61.4,60.3,638,,,,,4,15.6 [17.3-]
Guyana,South America,71584,1285,"$8,100",-5,11.1,44.6,15.4,7.4,-3.2,667,68.9,67.1,6180,,,,,6.4,15.1 [16.2-]
Haiti,North America,33837,860,"$1,800",0.9,40.6,60.8,22.6,7.5,-2,480,64.6,63.5,1410,3.720799923,0.37436673,0.169297516,0.161935672,4.4,15.7 [16.3-]
Holy See,,26,0,,,,,,,,,,,,,,,,,
Honduras,North America,458023,11043,"$5,600",4.5,5.6,47.1,22,5.3,-1.1,65,71.3,71.9,2480,5.953199863,0.791989982,0.568148077,0.086807102,5.2,12.9 [14-]
Hungary,Europe,2166352,48287,"$29,600",7.4,4.2,28.2,8.9,12.8,1.3,12,76.3,76.3,14400,6.000400066,0.806793869,0.386401802,0.027548173,6.9,16.6 [17.7-]
Iceland,Europe,207171,219,"$52,200",2.4,2.8,28,13.6,6.5,3.7,4,83.1,84,57700,7.504499912,1.000843406,0.661980748,0.144540772,3.8,11.8 [12.6-]
India,Asia,44672347,530620,"$7,200",5.5,8.5,35.2,18.7,7.3,0,145,69.1,70.5,1920,3.573299885,0.54057014,0.581142247,0.105587982,5.4,13.7 [15.4-]
Indonesia,Asia,6664844,159830,"$12,400",4.1,5.4,36.8,15.9,6.5,-1.1,177,73.2,71.1,3730,5.285600185,0.610437036,0.568161428,0.038278613,1.7,3.1 [3.6-]
Iran (Islamic Republic of),Asia,7559664,144633,"$20,100",3,11.8,44.5,17.4,5.3,-0.2,16,74.2,77.6,5200,4.672399998,0.749053836,0.301195472,0.142651513,0.5,21.3 [25.9-]
Iraq,Asia,2463296,25363,"$16,700",0.7,16,unknown,30,3.8,-1.1,79,74.9,73.3,4790,4.784800053,0.529350698,0.283588052,0.073164992,0.5,11 [12.5-]
Ireland,Europe,1678827,8170,"$73,200",7.8,6.7,31.3,13.8,6.6,4,5,81,82,72600,7.093699932,0.975670695,0.587779939,0.373433262,5.1,14.5 [15.4-]
Isle of Man,,38008,116,,,,,,,,,,,,,,,,,
Israel,Asia,4720211,11846,"$36,400",3.5,4.2,42.8,17.9,5.2,2.1,3,82.7,83,37600,7.128600121,1.008052945,0.420699477,0.09989845,2.5,6.4 [7-]
Italy,Europe,24260660,181098,"$38,200",2.1,11.3,31.9,8.5,10.5,3.6,2,82.4,83.1,31600,6.38740015,1.022504926,0.321305573,0.040145598,3.6,11.3 [11.9-]
Jamaica,North America,152517,3399,"$9,200",0.9,12.2,35,16.5,7.6,-9.4,80,74.5,76.3,5040,5.889800072,0.788434088,0.553124607,0.030147785,2.7,11.3 [12.3-]
Japan,Asia,24654770,49434,"$42,900",1.4,2.9,37.9,7.5,9.9,0,5,85.5,84.8,36200,5.870800018,1.072881341,0.495465875,0.181439638,4.2,13.1 [13.9-]
Jersey,,62826,142,,,,,,,,,,,,,,,,,
Jordan,Asia,1746997,14122,"$9,200",1.4,18.3,39.7,23.6,3.4,0,46,75,77.9,4110,4.633399963,0.777624726,0.424855083,0.151878625,1,23.5 [26.9-]
Kazakhstan,Asia,1487056,19053,"$26,300",5.8,5,26.3,17.5,8.2,0.4,10,71.4,71.7,11100,6.057899952,0.698788941,0.497432142,0.110463686,10.3,19.4 [21-]
Kenya,Africa,341515,5684,"$3,500",3.6,40,48.5,22.6,6.7,-0.2,342,64.6,66.1,1470,4.583000183,0.536312759,0.519180536,0.067201078,4,13.1 [14.6-]
Kiribati,,3430,13,"$2,000",1.1,30.6,unknown,21,7,-2.8,92,66.9,,,,,,,1.3,3.2 [3.7-]
Kosovo,Europe,272166,3192,"$10,900",1.2,30.5,23.2,unknown,unknown,-2.6,unknown,unknown,,,6.325200081,0.672709167,0.557280421,0.008559024,,
Kuwait,Asia,662672,2570,"$65,800",2.8,1.1,unknown,18.8,2.3,-2.8,12,78.3,81.6,27500,6.102099895,0.776468933,0.570261419,0.112814933,0.4,0.8 [1.5-]
Kyrgyzstan,Asia,206530,2991,"$3,700",10.9,7.1,33.4,21.6,6.4,-5.1,60,71.2,73.3,1200,5.541500092,0.680645883,0.614617765,0.030466691,10.9,23.6 [25.9-]
Lao People's Democratic Republic,Asia,216660,757,"$7,400",8,0.7,36.7,23.2,7.3,-1,185,65,68.6,2480,,,,,7,24.5 [26.9-]
Latvia,Europe,963451,6091,"$27,700",10.6,8.7,34.5,9.6,14.5,-6,19,74.9,75.8,15500,5.949999809,0.777902424,0.329198807,0.090391524,21.5,22.4 [23.8-]
Lebanon,Asia,1220443,10736,"$19,600",-21.1,9.7,unknown,14.1,5.1,-40.3,29,77.9,76.2,7310,4.771500111,0.788671136,0.18551667,0.021518147,1.3,25.4 [27.4-]
Lesotho,Africa,34490,706,"$3,300",12.5,28.1,63.2,24.2,15.1,-6.6,544,53,51.4,1110,,,,,3.3,26.1 [28.8-]
Liberia,Africa,8022,294,"$1,300",9,2.8,32,37.9,7.4,-4.7,661,63.8,65.7,673,4.557899952,0.392284274,0.405943096,0.051139876,5.2,17.5 [19.3-]
Libya,Africa,507084,6437,"$9,600",60.3,30,unknown,17.2,3.7,0.9,72,76.9,75.7,5910,5.488800049,0.615626633,0.451354057,0.172258079,0.2,16.6 [20.5-]
Liechtenstein,,20935,86,"$139,100",unknown,2.4,unknown,10.4,7.6,5,unknown,82,,,,,,,,
Lithuania,Europe,1276076,9434,"$32,400",5.9,7.1,37.9,9.8,14.8,-6.1,5,75.2,76.1,16400,6.215499878,0.795421183,0.42046079,0.081350274,24.5,23.7 [24.9-]
Luxembourg,Europe,306843,1162,"$105,100",1.9,5.8,30.4,11.6,7.3,14.8,5,82.4,82.9,104000,7.237500191,0.986442685,0.610137045,0.367041469,5.8,13.7 [14.5-]
Madagascar,Africa,67259,1412,"$1,600",5.2,1.8,41,31,6.4,0,335,66.6,65.1,481,4.165599823,0.500617027,0.192967549,0.076248638,2.8,8.8 [9.9-]
Malawi,Africa,88083,2685,"$1,200",1.2,20.4,46.1,40.7,7.7,0,349,62.2,64.1,391,3.538000107,0.446163297,0.487389833,0.131633952,3,14.7 [16.4-]
Malaysia,Asia,4990431,36667,"$29,100",5,3.4,46.2,18.8,5.2,-0.3,29,75.4,75.2,11100,5.384300232,0.788511872,0.596941531,0.062163133,2.1,3 [3.3-]
Maldives,Asia,185618,311,"$19,200",14,2.9,38.4,16.1,4,-12.7,53,76,79,9820,,,,,1.7,26.9 [31.5-]
Mali,Africa,32758,742,"$2,200",6.3,7.9,40.1,43.2,9.6,-3.9,562,60.8,61.2,802,4.729300022,0.234981522,0.377534449,0.062146276,1.3,5.4 [6.2-]
Malta,Europe,115818,809,"$41,900",-3.3,4.6,28.1,10,7.9,7.8,6,82.7,82.5,27100,6.772799969,0.972042024,0.633239031,0.178864077,3.5,11.7 [12.5-]
Marshall Islands,,15541,17,"$3,600",unknown,36,unknown,23.8,4.2,-4.6,unknown,73.6,,,,,,,No data,
Martinique,,224468,1071,,,,,,,,,,,,,,,,,
Mauritania,Africa,63419,997,"$4,500",1,10.2,37,29.9,7.8,-0.8,766,63.8,70.5,1500,4.374599934,0.425184816,0.185714483,0.122257635,0.2,3 [3.5-]
Mauritius,Africa,276456,1034,"$22,300",3.2,7.1,35.9,12.8,7.1,0,61,76,75.3,10300,6.101299763,0.763389409,0.590838134,0.084088229,3,10.9 [11.9-]
Mayotte,,41176,187,,,,,,,,,,,,,,,,,
Mexico,North America,7125176,330495,"$19,900",-0.6,3.4,48.2,18.1,5.4,-1.8,33,76.3,75.5,9950,6.465000153,0.831601024,0.553892553,0.083133668,6,15 [16.2-]
Micronesia (Federated States of),,22035,58,"$3,400",unknown,16.2,61.1,19.6,4.2,-20.9,88,73.4,,,,,,,2.4,14.4 [15.9-]
Monaco,,15442,65,"$115,700",6.8,2,unknown,6.5,10.1,6.5,unknown,89.4,,,,,,,No data,
Mongolia,Asia,992767,2134,"$13,000",-1,8,34,18.2,6.3,-0.8,45,70.2,68,4240,5.456200123,0.615788162,0.355703115,0.046533126,11.6,22 [23.8-]
Montenegro,Europe,283691,2789,"$17,800",-4.2,16.1,31.9,11.9,10.4,-4.9,6,unknown,75.6,7380,5.54610014,0.839028895,0.303223848,0.098435111,6.2,14 [15.1-]
Montserrat,,1403,8,,,,,,,,,,,,,,,,,
Morocco,Africa,1268639,16284,"$8,600",2.8,10.2,40.9,17.5,4.9,-3.1,70,77.3,73.1,3370,5.094799995,0.745096922,0.450054139,0.077385604,0.8,21.6 [24.4-]
Mozambique,Africa,230624,2226,"$1,300",4.9,24.5,45.6,37.8,11.4,-1.8,289,54.1,57.9,603,,,,,2.4,10.9 [12.2-]
Myanmar,Asia,633245,19488,,,,,,,,,,69.1,1350,4.308000088,0.495443076,0.597478867,0.187530354,6.6,15.4 [17.8-]
Namibia,Africa,169929,4080,"$11,200",-0.4,34,59.7,26.8,7.7,0,195,64.4,64.7,4630,,,,,6.1,31.3 [33.7-]
Nauru,,4621,1,"$12,300",unknown,23,unknown,23.2,5.9,-12.3,unknown,67.8,,,,,,,No data,22.5 [25-]
Nepal,Asia,1000889,12019,"$2,700",12.4,3,32.8,19.1,5.6,-2.5,186,71.3,70.8,1020,5.137199879,0.66887939,0.480608255,0.127502963,2.3,6.9 [8-]
Netherlands,Europe,8541997,22910,"$53,900",3.3,4.9,30.3,10.9,9,1.9,5,81.5,81.7,47800,7.448900223,0.975675344,0.61362648,0.368569762,3.6,11.4 [11.9-]
New Caledonia,,76187,314,,,,,,,,,,,,,,,,,
New Zealand,Oceania,1918917,2212,"$39,000",1.8,4.7,36.2,13.1,7.6,2.2,9,81.4,81.8,40300,7.299600124,1.008138299,0.646789908,0.461268276,4.2,13.7 [14.5-]
Nicaragua,North America,15250,245,"$5,900",3.5,6.4,47.1,17.5,5.2,-2.6,198,73.7,75.2,2090,6.13710022,0.803093255,0.560117304,0.174084574,7.7,15.1 [16.4-]
Niger,Africa,9443,314,"$1,200",6,0.3,34,43.6,11.5,-0.5,509,56.3,62,514,4.909599781,0.298816353,0.435311615,0.137554765,1,2.3 [2.7-]
Nigeria,Africa,266283,3155,"$5,900",2.2,16.5,48.8,35.2,9.6,-0.2,917,59.3,63.8,2510,4.724100113,0.167835936,0.435079455,0.047589935,7.9,24.3 [26.4-]
Niue,,124,0,,,,,,,,,,,,,,,,No data,28.1 [29.9-]
North Macedonia,Europe,344710,9568,"$14,900",-7.8,22.4,33.7,10.8,9.6,0.7,7,75.9,74.3,5170,,,,,4.3,13.9 [15.5-]
Northern Mariana Islands (Commonwealth of the),,13171,40,,,,,,,,,,,,,,,,,
Norway,Europe,1468876,4384,"$72,100",1.5,4.2,26.8,12.2,8,5.3,2,82,82.8,76000,7.487999916,1.008071899,0.670200884,0.434100568,3.4,9.7 [10.3-]
"occupied Palestinian territory, including east Jerusalem",,703036,5708,,,,,,,,,,74.7,3420,,,,,,
Oman,Asia,399119,4628,"$46,000",-3,unknown,unknown,23.7,3.3,-0.4,19,75.9,73.6,15100,,,,,1.6,9.2 [10.4-]
Pakistan,Asia,1575146,30631,"$5,400",5.4,6,30.7,21.6,6.3,-1.2,140,68.4,65.5,1500,5.69329977,0.469933242,0.405421734,0.122592121,0.6,20.3 [24.1-]
Palau,Asia,5785,7,"$14,700",unknown,1.7,unknown,11.3,8.2,0.8,unknown,73.6,,,,,,,No data,
Panama,North America,995726,8519,"$25,400",6.3,6,50.7,17.6,5,-0.2,52,78.9,79.9,14900,6.304800034,0.878546536,0.57984978,0.054230526,5.3,16.2 [17.2-]
Papua New Guinea,Oceania,46146,668,"$3,700",3.3,2.5,50.9,23.3,6.6,0,145,67.5,64.4,2750,,,,,2.3,7.7 [8.5-]
Paraguay,South America,718164,19621,"$12,800",2,5.7,51.7,16.6,4.8,-0.1,84,77.6,76.5,5870,5.692100048,0.735869646,0.586510062,0.065077379,6.3,19.1 [20.6-]
Peru,South America,4229179,217386,"$13,500",2.7,6.9,45.3,17.6,6.1,-2.1,88,74.2,80,6570,5.796800137,0.824444175,0.513210058,0.02703266,6.9,11.7 [12.5-]
Philippines,Asia,4035487,64620,"$8,400",7.2,5.7,44.4,23.4,6.1,-1.9,121,69.6,71.6,3500,6.006000042,0.602189481,0.621915162,0.130385727,5.2,19 [20.7-]
Pitcairn Islands,,4,0,,,,,,,,,,,,,,,,,
Poland,Europe,6352755,118319,"$29,600",7.5,4.9,30.8,9.3,10.5,-0.4,2,77.9,78,14300,6.186299801,0.868038476,0.557903528,0.160541251,6.9,16.4 [17.5-]
Portugal,Europe,5536455,25345,"$30,500",3.5,8.9,33.9,8.2,10.6,-0.2,8,80.9,81.7,21000,5.910900116,0.979315281,0.589895189,0.027733466,5.9,16.5 [17.7-]
Puerto Rico,,1008364,5361,,,,,,,,,,,,,,,,,
Qatar,Asia,478418,685,"$124,100",3,8.9,41.1,9.5,1.6,11.5,9,79,76.1,59800,,,,,6.9,5.7 [6.2-]
R?union,,480323,902,,,,,,,,,,,,,,,,,
Republic of Korea,Asia,27098734,30506,"$39,500",4.6,3.7,35.7,8.3,6.3,2.4,11,82.5,82.9,31000,,,,,7.6,15.5 [16.4-]
Republic of Moldova,Europe,594980,11918,"$6,700",3,4.1,26.8,11.2,12.6,-9.3,19,71.3,74,3260,5.607500076,0.713299453,0.389571488,0.014378744,26.1,27.1 [29.8-]
