Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
Aruba,,,Americas,,,43641,40875.372,236,221.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,Western Pacific,Oceania,AU,10616693,41634.28,15253,59.816,federal parliamentary democracy,Canberra,35 16 S,149 08 E,2.2,"$50,400 ",1.4,5.6,30.3,35.5,-0.5,40.8,2,3,5.24,1.89,38.8,1.01,12,7.3,5.4,6,4.2,82.4,1.77,29,5.3,12.6,2018,82.9,0.943,16.9,58600,77.5,7.222799778,1.310396433,77,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,2020,1.477146268,8.5,4.1,12.9,20.6,11.7,29.4,79.4,88.3,70.6,39.2 [34.7-43.6],57 [51.7-61.9],21.3 [17.6-25.3],4.6,6.9,2.2,7.1,3.7,74.1,62.5,48,30.9,2,10.5 [8.8-11.8],16 [13.4-17.9],5.2 [4.3-5.7],13.2 [13.9-],18.5 [19.5-],6.5 [6.9-]
Austria,,,Europe,Europe,AT,5554975,62407.989,21202,238.196,federal republic,Vienna,48 12 N,16 22 E,3,"$50,000 ",6.5,5.5,30.5,48.3,-0.7,78.6,2.2,0,1.57,0.58,44.2,0.42,9.5,9.7,4.4,5,3.4,81.7,1.48,20.1,5.5,9.8,2018,82.1,0.921,7.75,46300,70.9,7.294199944,1.317285538,76,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,2020,1.437444925,8.8,4.1,13.2,21.9,12.3,31.1,78.1,87.7,68.9,37.7 [35-40.3],55.3 [52.1-58.4],20 [17.8-22.3],5.3,8.6,2.3,8.2,3.6,75.8,63,47.3,32.4,2,12 [10.6-14],18.5 [16.5-21.9],5.8 [4.9-6.6],14.4 [15.1-],20.5 [21.4-],7.1 [7.4-]
Azerbaijan,,,Europe,Asia,AZ,824288,8129.734,9978,98.41,republic,Baku,40 23 N,49 52 E,0.1,"$17,500 ",-3.8,5,33.7,23.5,-1.6,54.1,13,15,12.7,3.77,31.7,0.83,15.3,7,0,26,23,73,1.89,19.9,2.5,13.4,2018,70.8,0.754,3.7,5260,49,5.164800167,0.990272701,30,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971,2020,1.180613041,53.2,37.9,67.7,78.1,68.4,87.2,21.9,31.6,12.8,8.2 [7.3-9.1],14.4 [12.9-16],2.1 [1.8-2.4],5.9,7.8,3.7,3.2,1,46,22.2,17.4,11.2,3,4.4 [3.3-5.5],7.5 [5.7-9.4],1.5 [1.1-1.8],3.8 [4.2-],4.7 [5.2-],1.7 [1.8-]
Bahamas,"Bahamas, The",,Americas,North America,BS,37476,9529.961,833,211.828,constitutional parliamentary democracy,Nassau,25 05 N,77 21 W,1.4,"$32,400 ",5.8,10.1,unknown,17.6,-2.6,54.6,1.4,4.5,4.25,unknown,32.3,0.79,15.1,7.3,0,70,11.1,72.9,1.94,31.6,unknown,25.8,2018,73.8,0.812,4.7,32700,83.3,,,,,,,,,,,33,19.5,45.6,56.2,42.1,69.5,43.8,57.9,30.5,19.6 [17.6-21.6],32.6 [29.7-35.4],7.1 [6-8.3],4.7,7.3,1.3,5.2,1.8,51.2,32.4,33.3,17.1,3,4.8 [13.4-17],7.6 [21.7-27.4],2.1 [5.7-7.3],9.6 [11-],12.5 [14.2-],4.5 [5.1-]
Bahrain,,,Eastern Mediterranean,Asia,BH,696198,40914.917,1536,90.269,constitutional monarchy,Manama,26 14 N,50 34 E,3.8,"$49,000 ",0.6,3.6,unknown,16.6,-10.1,88.5,1.4,1.75,5.33,3.6,32.5,2.19,13.1,2.8,11.6,14,8.8,79.1,1.73,29.8,2.3,5.3,2018,77,0.852,19.8,21700,63.6,6.227300167,1.296692252,42,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,2020,1.31532371,84.4,79.6,93.4,91.2,88.5,96.2,8.8,11.5,3.8,2.3 [1.9-2.9],3.4 [2.7-4.2],0.3 [0.2-0.4],1.9,2.8,0.7,2.1,0.5,31.8,11.8,7.2,3.8,1,1.1 [1.4-2.1],1.5 [1.7-2.6],0.3 [0.7-1.2],20.8 [21.9-],23 [24.3-],8.1 [8.6-]
Bangladesh,,,South-East Asia,Asia,BD,2036585,1236.622,29433,17.872,parliamentary democracy,Dhaka,23 43 N,90 24 E,7.4,"$4,200 ",10.2,4.4,32.1,9.6,-3.2,33.1,5.6,5,9.54,1.37,27.1,1.02,18.6,5.4,-3,173,30.5,73.7,2.15,3.6,2,12.8,2018,74.2,0.625,0.531,1500,39.8,4.832799911,0.556156278,26,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898,2020,0.868800581,92.5,88.9,96.1,97.8,96.5,99,2.2,3.5,1,0.8 [0.7-0.9],1.4 [1.3-1.6],0.1 [0.1-0.2],0.9,0.9,0.8,1.1,0.3,10,8.4,2,1.1,1,0 [0-0.1],0 [0-0.2],0 [0-0],0.9 [1-],1 [1.2-],0.4 [0.4-]
Barbados,,,Americas,North America,BB,104416,36334.406,567,197.303,parliamentary democracy,Bridgetown,13 06 N,59 37 W,-0.2,"$18,600 ",2.4,10.1,unknown,29.4,-4,157.3,4.4,7,8.1,unknown,38.9,0.26,11.6,8.6,-0.3,27,10,75.7,1.68,23.1,4.7,29.6,2018,76.5,0.81,4.48,16800,78.1,,,,,,,,,,,25.1,13.6,35.3,49.5,34.8,62.6,50.5,65.2,37.4,26.4 [24.1-28.6],42.4 [39.3-45.3],11.5 [9.9-13.2],3.6,6.4,0.9,5.9,2.2,72.3,51.3,42.3,32.3,2,9.7 [10-13.5],16 [16.8-22.7],4.1 [3.9-5.3],18.2 [19.5-],24.5 [26.2-],8.6 [9.2-]
Belarus,,,Europe,Europe,BY,994037,10519.666,7118,75.328,republic,Minsk,53 54 N,27 34 E,2.4,"$18,900 ",5.6,0.8,26.5,40.7,2.9,53.4,6,14,9.66,1.27,40.3,-0.24,10,13.2,0.7,2,3.6,73.2,1.49,24.5,4.8,9.3,2018,74,0.823,6.93,6140,58.1,5.539899826,1.018854499,47,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911,2020,1.38713932,7.5,5.9,8.8,26.4,21,30.8,73.6,79,69.2,28.2 [23.8-32.7],42.3 [36.6-47.8],15 [11.9-18.8],24,23.8,24.2,11.2,4.2,52,63.6,49.6,48.9,5,11.5 [9.6-12.7],18.7 [16.2-21.4],5.4 [4.1-5.5],15.7 [16.7-],23.9 [25.4-],8.2 [8.8-]
Belgium,,,Europe,Europe,BE,4636264,40236.825,33057,286.892,federal parliamentary democracy under a constitutional monarchy,Brussels,50 50 N,4 20 E,1.7,"$46,600 ",0.2,7.1,25.9,51.3,-1,103.4,2.2,0,2.08,0.93,41.5,0.67,11.3,9.7,5.2,5,3.4,81.2,1.78,22.1,6.5,19.3,2018,81.4,0.93,8.69,42400,77.9,6.863500118,1.295842767,76,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,2020,1.398677588,9.4,4.5,14.2,23.5,13.4,33.2,76.5,86.6,66.8,36.6 [34-39.2],54.1 [50.9-57.1],19 [17-21.2],5.4,8,2.8,7.7,4.2,77.1,63.9,47.3,31.2,3,11.1 [8.1-11.3],17.2 [12.6-17.6],5.3 [3.8-5.3],15.4 [16.2-],21.7 [22.8-],7.6 [8-]
